epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3703.17,1.36683,0.89836,0.97808,0.5498,0.40738,0.43458,0.23119,1.33066,0.78596,0.96762,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257,0.00999771,0.00333257
2,6953.73,1.40334,0.86366,0.99003,0.55294,0.40729,0.43186,0.23195,1.32834,0.77459,0.97324,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594,0.0190078,0.00633594
3,10045.1,1.42072,0.88047,0.99913,0.54914,0.39853,0.43608,0.23499,1.31946,0.76308,0.97426,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931,0.0270279,0.00900931
4,13105,1.39995,0.85272,0.99269,0.67436,0.43564,0.46965,0.25697,1.29267,0.72065,0.96126,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,16139.7,1.3621,0.80748,0.97751,0.60179,0.44898,0.49539,0.27253,1.27192,0.69777,0.95196,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,19169.4,1.34008,0.78369,0.96995,0.71262,0.46902,0.51348,0.28398,1.25967,0.67998,0.94807,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,22268,1.3236,0.76484,0.963,0.7088,0.4792,0.52218,0.29154,1.25187,0.66844,0.94308,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,25387.4,1.31014,0.75067,0.95939,0.71773,0.48861,0.53322,0.29885,1.2459,0.65967,0.94241,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,28443,1.30119,0.73949,0.95491,0.72413,0.49152,0.53931,0.30354,1.23998,0.65213,0.93922,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,31467.1,1.29071,0.72765,0.95155,0.72763,0.49768,0.54689,0.30714,1.23654,0.64721,0.9378,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,34424.8,1.31894,0.72978,0.95939,0.72149,0.50238,0.54645,0.30739,1.23563,0.64693,0.93685,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,37411.6,1.31105,0.72092,0.95619,0.72938,0.49897,0.54786,0.30882,1.23605,0.64638,0.93623,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,40335.7,1.30366,0.71177,0.95372,0.72856,0.50123,0.55323,0.31205,1.23622,0.64496,0.93606,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,43320.4,1.29482,0.70245,0.94972,0.72554,0.50469,0.55504,0.3137,1.23548,0.64353,0.93546,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,46392.7,1.28822,0.69352,0.9472,0.72924,0.50676,0.55349,0.31468,1.23467,0.64228,0.93507,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,49438.4,1.27886,0.68336,0.94433,0.73284,0.50638,0.55418,0.31471,1.23404,0.64111,0.93467,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,52443.7,1.2718,0.67393,0.9417,0.7334,0.50847,0.5562,0.31624,1.23352,0.63978,0.93435,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,55452.6,1.26351,0.66501,0.93881,0.73421,0.50755,0.5568,0.31656,1.23285,0.6388,0.93403,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,58475,1.25559,0.65434,0.93563,0.73593,0.50832,0.55799,0.31733,1.23229,0.63765,0.93363,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,61478,1.24568,0.64273,0.93228,0.73956,0.50723,0.5584,0.31803,1.23152,0.6366,0.93321,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
